,kieskringId,id,affid,firstname,initials,prefix,lastname,gender,gemeentenaam,gemeentecode,provincienaam,provinciecode
0,9,1,1,Mark,M.,,Rutte,male,'s-Gravenhage,GM0518,Zuid-Holland,PV28
1,9,2,1,Jeanine,J.A.,,Hennis-Plasschaert,female,Wijdemeren,GM1696,Noord-Holland,PV27
2,9,3,1,Halbe,H.,,Zijlstra,male,Wassenaar,GM0629,Zuid-Holland,PV28
3,9,4,1,Tamara,T.,van,Ark,female,Zuidplas,GM1892,Zuid-Holland,PV28
4,9,5,1,Klaas,K.H.D.M.,,Dijkhoff,male,Breda,GM0758,Noord-Brabant,PV30
5,9,6,1,Sander,S.,,Dekker,male,'s-Gravenhage,GM0518,Zuid-Holland,PV28
6,9,7,1,Barbara,B.,,Visser,female,Zaanstad,GM0479,Noord-Holland,PV27
7,9,8,1,Mark,M.G.J.,,Harbers,male,Rotterdam,GM0599,Zuid-Holland,PV28
8,9,9,1,Han,J.H.,ten,Broeke,male,HofvanTwente,GM1735,Overijssel,PV23
9,9,10,1,Malik,M.,,Azmani,male,Dalfsen,GM0148,Overijssel,PV23
10,9,11,1,Dennis,A.D.,,Wiersma,male,Utrecht,GM0344,Utrecht,PV26
11,9,12,1,Helma,W.J.H.,,Lodders,female,Zeewolde,GM0050,Flevoland,PV24
12,9,13,1,Bas,B.,van 't,Wout,male,Halderberge,GM1655,Noord-Brabant,PV30
13,9,14,1,Bente,B.,,Becker,female,'s-Gravenhage,GM0518,Zuid-Holland,PV28
14,9,15,1,Pieter,P.J.,,Duisenberg,male,'s-Gravenhage,GM0518,Zuid-Holland,PV28
15,9,16,1,Sophie,S.T.M.,,Hermans,female,Amsterdam,GM0363,Noord-Holland,PV27
16,9,17,1,Anne,A.,,Mulder,male,'s-Gravenhage,GM0518,Zuid-Holland,PV28
17,9,18,1,Aukje,A.,de,Vries,female,Leeuwarden,GM0080,Friesland,PV21
18,9,19,1,Dilan,D.,,Yeşilgöz-Zegerius,female,Amsterdam,GM0363,Noord-Holland,PV27
19,9,20,1,Arno,A.C.L.,,Rutte,male,Groningen,GM0014,Groningen,PV20
20,9,21,1,Ockje,O.C.,,Tellegen,female,'s-Gravenhage,GM0518,Zuid-Holland,PV28
21,9,22,1,Daniel,D.A.N.,,Koerhuis,male,Buitenland,GM9999,Buitenland,PV99
22,9,23,1,Erik,E.,,Ziengs,male,Assen,GM0106,Drenthe,PV22
23,9,24,1,André,A.,,Bosman,male,Middelburg,GM0687,Zeeland,PV29
24,9,25,1,Albert,A.,van den,Bosch,male,Zaltbommel,GM0297,Gelderland,PV25
25,9,26,1,Zohair,Z.,El,Yassini,male,Utrecht,GM0344,Utrecht,PV26
26,9,27,1,Remco,R.J.,,Dijkstra,male,Buren,GM0214,Gelderland,PV25
27,9,28,1,Martin,M.,,Wörsdörfer,male,'s-Gravenhage,GM0518,Zuid-Holland,PV28
28,9,29,1,Arne,A.,,Weverling,male,Westland,GM1783,Zuid-Holland,PV28
29,9,30,1,Chantal,C.N.A.,,Nijkerken-de Haan,female,Onderbanken,GM0881,Limburg,PV31
30,9,31,1,Sjoerd,S.C.C.M.,,Potters,male,Waalwijk,GM0867,Noord-Brabant,PV30
31,9,32,1,Foort,F.,van,Oosten,male,Schiedam,GM0606,Zuid-Holland,PV28
32,9,33,1,Sven,S.M.G.,,Koopmans,male,Haarlemmermeer,GM0394,Noord-Holland,PV27
33,9,34,1,Jan,J.,,Middendorp,male,Amsterdam,GM0363,Noord-Holland,PV27
34,9,35,1,Roald,R.E.,van der,Linde,male,Rotterdam,GM0599,Zuid-Holland,PV28
35,9,36,1,Joost,J.M.,van,Keulen,male,Groningen,GM0014,Groningen,PV20
36,9,37,1,Antoinette,A.J.M.,,Laan-Geselschap,female,Rotterdam,GM0599,Zuid-Holland,PV28
37,9,38,1,Judith,J.Z.C.M.,,Tielen,female,Utrecht,GM0344,Utrecht,PV26
38,9,39,1,Hayke,H.S.,,Veldman,male,Nijmegen,GM0268,Gelderland,PV25
39,9,40,1,Rudmer,R.J.,,Heerema,male,Alkmaar,GM0361,Noord-Holland,PV27
40,9,41,1,Wybren,W.R.,van,Haga,male,Haarlem,GM0392,Noord-Holland,PV27
41,9,42,1,Leendert,L.A.,de,Lange,male,Noordwijk,GM0575,Zuid-Holland,PV28
42,9,43,1,Tobias,T.,van,Gent,male,Middelburg,GM0687,Zeeland,PV29
43,9,44,1,Jeroen,A.A.,de,Veth,male,'s-Gravenhage,GM0518,Zuid-Holland,PV28
44,9,45,1,Jeroen,J.,Van,Wijngaarden,male,Amsterdam,GM0363,Noord-Holland,PV27
45,9,46,1,Thierry,A.A.,,Aartsen,male,Breda,GM0758,Noord-Brabant,PV30
46,9,47,1,Kelly,K.,,Regterschot,female,Landgraaf,GM0882,Limburg,PV31
47,9,48,1,Bart,B.M.G.,,Smals,male,Delft,GM0503,Zuid-Holland,PV28
48,9,49,1,Mirjam,M.S.,,Pauwels-Paauw,female,DeWolden,GM1690,Drenthe,PV22
49,9,50,1,Martijn,M.N.,,Bolkestein,male,Bloemendaal,GM0377,Noord-Holland,PV27
50,9,51,1,Mark,M.A.J.,,Snoeren,male,Nieuwegein,GM0356,Utrecht,PV26
51,9,52,1,Jacco,J.J.,,Heemskerk,male,GooiseMeren,GM1942,Noord-Holland,PV27
52,9,53,1,Wendelien,W.E.,,Tönjann-Levert,female,Oegstgeest,GM0579,Zuid-Holland,PV28
53,9,54,1,Robert,R.K.,van,Rijn,male,Aalsmeer,GM0358,Noord-Holland,PV27
54,9,55,1,Jan,J.,de,Reus,male,Lelystad,GM0995,Flevoland,PV24
55,9,56,1,Rosemarijn,R.M.,,Dral,female,Oostzaan,GM0431,Noord-Holland,PV27
56,9,57,1,Irene,I.A.,,Korting,female,Dronten,GM0303,Flevoland,PV24
57,9,58,1,Kathy,K.,,Arends-Drijver,female,Lansingerland,GM1621,Zuid-Holland,PV28
